canonical_class_id,canonical_class,source_dataset,source_label,source_label_id,mapping_status,mapping_type,exact_match,semantic_match,candidate_count,independent_identity_count,metadata_status,resource_status,provenance_status,pretraining_exposure_traceability,primary_candidate,supplement_candidate,manual_review_required,evidence_path_or_url,evidence_sha_or_version,notes
3,vacuum_cleaner,DESED isolated foreground,Vacuum_cleaner,,EXACT,EXACT,true,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,false,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,official DESED class label exact; isolated foreground resource status is independent
3,vacuum_cleaner,PSELD-selected FSD50K,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,NOT_ESTABLISHED,false,false,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official 170-class metadata contains no approved mapping label
4,clock_alarm,ESC-50,clock_alarm,37,EXACT,EXACT,true,false,40,36,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,true,false,false,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,official category exact; src_file used as original identity
4,clock_alarm,DESED isolated foreground,Alarm_bell_ringing,,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,official DESED alarm label is broader than clock_alarm; Step 2A review required
4,clock_alarm,PSELD-selected FSD50K,Alarm,/m/07pp_mv,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,212,212,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
5,speech,ESC-50,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,no canonical or approved nearby category in official metadata
5,speech,DESED isolated foreground,Speech,,EXACT,EXACT,true,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,false,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,official DESED class label exact; isolated foreground resource status is independent
5,speech,PSELD-selected FSD50K,Speech,/m/09x0r,EXACT,EXACT,true,false,252,252,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,false,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
6,running_water,ESC-50,pouring_water|water_drops,15|17,AMBIGUOUS,AMBIGUOUS,false,true,80,63,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,nearby label only; Step 2A audition required
6,running_water,DESED isolated foreground,Running_water,,EXACT,EXACT,true,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,false,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,official DESED class label exact; isolated foreground resource status is independent
6,running_water,PSELD-selected FSD50K,"Water tap, faucet",/m/02jz0l,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,95,95,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
7,frying,ESC-50,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,no canonical or approved nearby category in official metadata
7,frying,DESED isolated foreground,Frying,,EXACT,EXACT,true,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,false,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,official DESED class label exact; isolated foreground resource status is independent
7,frying,PSELD-selected FSD50K,Frying (food),/m/0dxrf,EXACT,EXACT,true,false,76,76,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,false,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
8,mechanical_fan,ESC-50,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,no canonical or approved nearby category in official metadata
8,mechanical_fan,DESED isolated foreground,,,NONE,NONE,false,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,no approved DESED label for this canonical class; isolated resource status is independent
8,mechanical_fan,PSELD-selected FSD50K,Mechanical fan,/m/02x984l,EXACT,EXACT,true,false,69,69,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,false,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
9,microwave_oven,ESC-50,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,no canonical or approved nearby category in official metadata
9,microwave_oven,DESED isolated foreground,,,NONE,NONE,false,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,no approved DESED label for this canonical class; isolated resource status is independent
9,microwave_oven,PSELD-selected FSD50K,Microwave oven,/m/0fx9l,EXACT,EXACT,true,false,149,149,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,false,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
10,dishes,ESC-50,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,no canonical or approved nearby category in official metadata
10,dishes,DESED isolated foreground,Dishes,,EXACT,EXACT,true,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,false,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,official DESED class label exact; isolated foreground resource status is independent
10,dishes,PSELD-selected FSD50K,"Dishes, pots, and pans",/m/04brg2,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,224,224,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
11,printer,ESC-50,,,NONE,NONE,false,false,0,0,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,no canonical or approved nearby category in official metadata
11,printer,DESED isolated foreground,,,NONE,NONE,false,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,no approved DESED label for this canonical class; isolated resource status is independent
11,printer,PSELD-selected FSD50K,Printer,/m/01m4t,EXACT,EXACT,true,false,127,127,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,false,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
